trial_id,Val_loss,epoch,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/batch_size,config/epochs,config/loss_function,config/lr0,config/patience,config/factor,config/minlr,config/betas,config/eps,config/weight_decay,config/amsgrad,config/dim,config/improved,config/n_conv
15797_00011,38.72065866538582,15.0,0.5778446197509766,True,15.0,2023-06-29_11-37-16,1688035036.0,27.54248571395874,31935.0,storm.cs.nott.ac.uk,10.148.136.74,27.54248571395874,15.0,"11_amsgrad=False,batch_size=32,dim=16,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,16.0,False,1.0
15797_00012,38.78354076966911,15.0,0.5173418521881104,True,15.0,2023-06-29_11-37-48,1688035068.0,25.868417501449585,32364.0,storm.cs.nott.ac.uk,10.148.136.74,25.868417501449585,15.0,"12_amsgrad=True,batch_size=64,dim=32,eps=0.0000,factor=0.5000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,True,32.0,True,1.0
15797_00013,38.64862631026217,15.0,0.5858945846557617,True,15.0,2023-06-29_11-38-21,1688035101.0,27.5078387260437,309.0,storm.cs.nott.ac.uk,10.148.136.74,27.5078387260437,15.0,"13_amsgrad=False,batch_size=32,dim=32,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,32.0,False,1.0
15797_00014,38.74495756879175,15.0,0.6169934272766113,True,15.0,2023-06-29_11-38-55,1688035135.0,27.457395792007446,773.0,storm.cs.nott.ac.uk,10.148.136.74,27.457395792007446,15.0,"14_amsgrad=True,batch_size=32,dim=64,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,True,64.0,False,1.0
15797_00015,38.471183011070586,15.0,0.69061279296875,True,15.0,2023-06-29_11-39-29,1688035169.0,28.51254677772522,1242.0,storm.cs.nott.ac.uk,10.148.136.74,28.51254677772522,15.0,"15_amsgrad=False,batch_size=16,dim=64,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,64.0,False,1.0
15797_00016,37.95754374329154,60.0,0.579869270324707,True,60.0,2023-06-29_11-40-29,1688035229.0,53.36681532859802,1707.0,storm.cs.nott.ac.uk,10.148.136.74,53.36681532859802,60.0,"16_amsgrad=True,batch_size=32,dim=128,eps=0.0000,factor=0.5000,improved=True,lr0=0.0500,n_conv=1,patience=1",32.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,True,128.0,True,1.0
15797_00017,38.24018577711449,60.0,0.5262534618377686,True,60.0,2023-06-29_11-41-26,1688035286.0,50.7904953956604,2427.0,storm.cs.nott.ac.uk,10.148.136.74,50.7904953956604,60.0,"17_amsgrad=False,batch_size=64,dim=128,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,128.0,False,1.0
15797_00018,32.954781076747416,1000.0,0.7006340026855469,True,1000.0,2023-06-29_11-53-32,1688036012.0,719.8469054698944,3119.0,storm.cs.nott.ac.uk,10.148.136.74,719.8469054698944,1000.0,"18_amsgrad=True,batch_size=16,dim=256,eps=0.0000,factor=0.5000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,True,256.0,True,1.0
15797_00019,38.65066287110618,15.0,0.5345890522003174,True,15.0,2023-06-29_11-54-07,1688036047.0,26.870267868041992,10733.0,storm.cs.nott.ac.uk,10.148.136.74,26.870267868041992,15.0,"19_amsgrad=False,batch_size=64,dim=256,eps=0.0000,factor=0.5000,improved=False,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.5,1e-08,"(0.9, 0.999)",1e-09,0.0,False,256.0,False,1.0
15797_00020,38.917428053993355,15.0,0.6431889533996582,True,15.0,2023-06-29_11-54-39,1688036079.0,26.596362829208374,11240.0,storm.cs.nott.ac.uk,10.148.136.74,26.596362829208374,15.0,"20_amsgrad=True,batch_size=64,dim=16,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",64.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,True,16.0,True,1.0
15797_00021,37.73520228092903,60.0,0.6932549476623535,True,60.0,2023-06-29_11-55-44,1688036144.0,59.780694246292114,11644.0,storm.cs.nott.ac.uk,10.148.136.74,59.780694246292114,60.0,"21_amsgrad=False,batch_size=16,dim=16,eps=0.0000,factor=0.7000,improved=False,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,False,16.0,False,1.0
15797_00022,33.20225026820911,1000.0,0.6897187232971191,True,1000.0,2023-06-29_12-07-49,1688036869.0,717.7941656112671,12396.0,storm.cs.nott.ac.uk,10.148.136.74,717.7941656112671,1000.0,"22_amsgrad=True,batch_size=16,dim=32,eps=0.0000,factor=0.7000,improved=True,lr0=0.0500,n_conv=1,patience=1",16.0,1500.0,MSELoss(),0.05,1.0,0.7,1e-08,"(0.9, 0.999)",1e-08,0.0,True,32.0,True,1.0
