,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
553,2139,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,72.0,93.5
554,2140,C/C=C/C(=O)OCc1ccccc1,100,c1ccc(B2OCCO2)cc1,35,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,93.5
555,2141,C/C=C/C(=O)OCc1ccccc1,100,CC1(C)OB(c2ccccc2)OC1(C)C,0,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,79.0,93.5
556,2142,C/C=C/C(=O)OCc1ccccc1,100,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,97.0,93.5
557,2143,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,98.0,17.5
558,2144,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(F)cc1,21,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,56.0,5.0
559,2145,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,39.0,7.0
560,2146,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,62.0,9.0
561,2147,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,89.0,6.5
562,2148,CCOC(=O)/C=C/CNC(=O)OC(C)(C)C,101,OB(O)c1ccc(Cl)cc1,22,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,67.0,16.0
