,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
484,1887,O=C1C=CCC1,6,C/C=C(\C)B1Oc2ccccc2O1,92,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,97.5
485,1888,O=C1C=CCC1,6,CCCC/C=C/B(O)O,93,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,89.0,85.0
486,1889,O=C1C=CCC1,6,CCCC/C=C\B(O)O,94,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,83.0,85.0
487,1890,O=C1C=CCC1,6,CCCCC/C=C/B(O)O,95,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,98.0
488,1891,O=C1C=CCC1,6,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,83.0,99.0
489,1897,O=C1C=CCCC1,0,C=C[B-](F)(F)F.[K+],97,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,99.0,4.0
490,1898,O=C1C=CCCC1,0,C=C[B-](F)(F)F.[K+],97,COC(C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)=C1C4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4OC,L1.38,R,83.0,5.5
491,1899,O=C1C=CCCC1,0,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,95.0
492,1900,O=C1C=CCCC1,0,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,33.0,95.0
493,1901,O=C1C=CCCC1,0,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,79.0,95.0
