Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,39.389953919570814,32.08886370451554,28.517078482586406
10,28.433608911333295,21.715999078059543,25.472492466802183
15,21.20158752385717,20.760120032490164,23.77527734507685
20,18.553477990366247,17.123261562292125,22.939725627069887
25,18.2664456054242,15.574131703031236,23.54199456477511
30,13.231766053359873,16.548238643701527,17.806457353674848
35,13.859506551366653,18.63249183046645,17.251300922338512
40,11.55684725559541,18.030166529226996,18.599456842394844
45,14.493396090765069,17.51758915445079,18.002506311388984
50,16.87651133015208,15.882788146751514,19.799963743790336
55,13.37194230086612,17.99882912290269,19.265276369841203
60,14.54106399438677,18.038780516472414,19.253677976304207
