Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.401647828315774,31.30630285843559,41.991301143870636
10,29.188274512091187,21.93114443792813,29.903188817641315
15,20.513036727905273,18.129346419071805,23.792691735660327
20,20.218111042550788,15.83116769099581,23.642324335434857
25,19.45423354477179,16.552421583645586,21.889132331399356
30,15.194745521510669,17.866010444751684,24.141837063957663
35,15.23388026364297,17.60496591485065,25.580133213716394
40,13.06154876111418,17.30799156686534,23.951470543356503
45,13.78138486587719,19.536007563273113,26.111085330738742
50,14.667926001418484,17.173581372136656,18.924009323120117
55,12.480374917306536,16.96858811032945,20.60487803290872
