Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,38.965087834935986,35.560605256453805,27.71272324824679
10,33.69052680913549,32.90156909002774,26.73762031223463
15,21.880238929804225,32.21134086277174,26.788295054781265
20,18.093155965317774,26.370276879573215,21.84906890426857
25,20.266608008503045,27.131268072819363,23.550706835760586
30,13.98420806522787,25.10547375333482,19.287540380505547
35,14.248333575951792,26.85715929667155,21.57063669398211
40,14.779628043627216,25.979768200197082,22.97951767410057
45,15.177495465661487,24.652972566908684,23.297498620074727
50,11.616521438542943,24.485612205837082,20.101644128992938
55,11.12864395823792,24.449961095616437,21.72202107526254
60,9.530859411197858,24.54832712809245,20.425800074701723
65,10.300772360641592,24.197771818741508,20.270419576893683
70,9.123591997327596,24.346783513608187,21.162024428879004
75,8.616292622837706,23.813839262810305,20.472974279652473
80,8.915174414641665,24.51993795754253,20.190619510153066
85,7.896102640750635,24.047603745391402,20.07990989132204
90,8.05483431363628,23.338743679765344,20.404011601987094
95,7.135904169430698,23.00481431380562,18.679178293200508
100,6.872428587753407,22.023694466853488,19.121611526046973
105,6.713111416266782,22.811972161997918,18.957459104233894
110,7.8404046149149424,22.625195378842562,17.694533583046734
115,6.212531314279041,21.255184007727582,18.055276483729266
120,6.375338263755297,22.6623378974804,19.031990576481473
125,5.964541195082838,22.543015825575676,17.985467579053797
130,6.0299732598075035,18.728890349899512,19.439258658367656
135,6.950637779096617,23.319719535717066,17.10261040839596
140,5.659181859371436,18.922919812409773,16.74056923907736
145,6.170344230902456,19.100674947102863,16.545227023138516
150,5.523002916879028,19.806522424670234,16.367059679998867
155,5.260945013839833,18.545952313188195,16.978896154873613
160,5.163306173616952,18.69309920158939,14.68416780665301
165,4.6086856535751455,15.698933808699898,15.522185173587523
170,5.420368768873006,19.79877828515094,17.924256697944973
175,4.446393589033698,18.61328669561856,18.33236838078153
180,5.829045911775018,19.30130516273388,18.86544774926227
185,4.343901404499137,19.087746606356855,15.639521806136422
190,3.609733971366047,16.76198953822039,13.85611527207969
195,3.411689013460257,15.630567274231842,13.032186563464178
200,3.311483304866039,16.03899784364562,13.534999971804412
205,3.684553544886791,18.61516034775886,14.386168756346772
210,3.978964963968653,17.77386162246483,13.645207847374072
215,3.9198162520888946,18.002203098241832,14.519077743309131
220,3.6568887825429877,16.476168618685957,15.242683272430861
225,3.517891323479423,16.72725602854853,15.306564939194832
230,3.6370916523202492,16.36283329949863,12.796554662179256
