Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.22109011874173,36.96696040941321,42.602130216710705
10,27.8086772807526,29.69062783061594,28.30956245871151
15,19.36588986714681,26.70529860344486,19.906819511862363
20,22.276486836278806,26.986862072046254,21.53352221320657
25,17.686370479604587,26.158993873043336,17.4789296318503
30,13.726010582268998,25.48408563586249,18.449720719281366
35,15.163398162480478,24.839455784230992,16.439532672657688
40,14.88743507232388,27.151784896850586,16.521421488593607
45,12.012601550159559,24.501019077024598,12.42721939086914
50,11.793965037403211,24.428019343942836,11.942132304696475
55,12.292878791065599,24.51487618598385,12.67042850045597
60,12.603143226470669,24.61189253433891,10.920114937950583
65,11.564744185880233,24.485402203988336,13.203560997458066
70,10.74594572723889,24.062977279441945,12.08736094306497
75,10.435700355766032,24.413705328236457,11.090737006243538
80,11.633663895785917,25.519378800323043,20.04551113353056
85,10.022500741677206,24.60862801040428,9.886487007141113
90,9.995779777485165,24.47202594038369,11.250282315646901
95,12.009088101934214,24.4262423031572,11.622362866121179
100,10.223934587016567,24.487384851428047,8.453204729977776
105,9.996494388754034,24.401960594066676,8.018144803888658
