Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.93845321571892,33.160870289457016,33.03489685058594
10,30.339200480171023,22.7001586029495,24.709791968850528
15,23.4800269903381,16.959412395090297,19.98762736600988
20,20.810257764027636,16.13797276261924,15.618394795586081
25,19.1625574073722,17.75427848705347,17.706946541281308
30,14.97531835628989,17.50203085636747,19.637144088745117
35,14.526476062712122,17.94015415855076,13.684360728544348
40,16.59850773698428,22.139827368915945,17.86573589549345
45,15.107236622461205,18.17855431377024,12.936742053312415
50,13.455176629655348,17.435019465460293,13.797382691327263
55,12.208462326035908,17.387846656467605,13.64025317921358
