Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.54989523965804,33.49222946166992,36.9297534718233
10,28.197078089896447,23.349415627078734,26.583307041841394
15,22.69540103016004,18.3352148083673,20.32431905409869
20,20.02206846490801,18.30873411980228,16.503263249116785
25,18.822301958428053,20.495210785796676,19.953640096327838
30,18.159325922773185,21.992055671802465,15.46683967814726
35,16.838883436442725,21.28319004998691,15.568261427037855
40,16.22436896221668,20.39128870203875,12.111419453340417
45,14.221606621108203,19.750624090001203,14.434810582329245
50,15.235592107303807,20.764390171438023,13.706919165218578
55,13.097447855659304,20.133220838463824,12.48663750816794
