Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,38.84560853721452,32.3367243780606,35.87071294369905
10,33.64974518936046,30.79965737937153,32.94152926016545
15,23.6686505923306,25.078412512074348,31.620068812715836
20,21.296335067192132,19.882834614187047,28.711282868316207
25,18.87711378083612,16.459480990534242,25.856839304384977
30,15.467680440331897,15.766732775646707,26.605766959812332
35,14.393902367919031,19.317790349324543,26.859317668970082
40,16.001212447229094,19.363985020181406,27.732433899589207
45,16.090850078276475,19.935609928075817,27.044481830320496
50,11.41163461921859,20.819833340852156,26.57198098776997
55,12.501583537916197,19.14653934257618,25.76558862216231
60,9.219539955584672,21.133329723192297,26.50793935250545
65,10.667999852312743,16.29616724235424,24.57886839604032
