Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.22109011874173,42.602130216710705,36.96696040941321
10,27.8086772807526,28.30956245871151,29.69062783061594
15,19.36588986714681,19.906819511862363,26.70529860344486
20,22.276486836278806,21.53352221320657,26.986862072046254
25,17.686370479604587,17.4789296318503,26.158993873043336
30,13.726010582268998,18.449720719281366,25.48408563586249
35,15.163398162480478,16.439532672657688,24.839455784230992
40,14.88743507232388,16.521421488593607,27.151784896850586
45,12.012601550159559,12.42721939086914,24.501019077024598
50,11.793965037403211,11.942132304696475,24.428019343942836
55,12.292878791065599,12.67042850045597,24.51487618598385
60,12.603143226470669,10.920114937950583,24.61189253433891
65,11.564744185880233,13.203560997458066,24.485402203988336
70,10.74594572723889,12.08736094306497,24.062977279441945
75,10.435700355766032,11.090737006243538,24.413705328236457
80,11.633663895785917,20.04551113353056,25.519378800323043
85,10.022500741677206,9.886487007141113,24.60862801040428
90,9.995779777485165,11.250282315646901,24.47202594038369
95,12.009088101934214,11.622362866121179,24.4262423031572
100,10.223934587016567,8.453204729977776,24.487384851428047
105,9.996494388754034,8.018144803888658,24.401960594066676
110,9.638903098462492,11.793845429139978,24.858267466227215
115,9.421612221903706,11.057115021873923,24.344283173049707
120,9.113139272387562,11.71783301409553,24.516725788945738
125,9.656396441989475,11.212248998529772,24.591454298599906
130,8.748266688244373,11.272495606366325,23.064598111138828
135,8.323541175689419,10.718346792108873,24.09388652746228
140,8.522010685099062,10.997733607011682,24.061816588692043
