Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.001099883532916,41.44964801563936,28.802168942879938
10,30.47926671040297,34.40751490873449,26.761619650799297
15,28.194331198659317,35.914150686825025,30.118805152782496
20,18.32137384918435,23.521337509155273,24.220267917798914
25,13.05482935601462,20.865462808048022,16.94217270008032
30,14.222841499064572,20.218196953044217,17.079716751540918
35,15.47778954358266,26.77890194163603,21.175311876379926
40,13.013216218444603,17.947504071628344,16.98496489593948
45,13.518460655907248,20.078962213852826,18.5269427921461
50,12.605474470308787,20.401180155137006,17.599874745244566
55,12.348113610661963,18.230239026686725,16.540857093921606
60,12.062527991817731,15.605392820694867,16.287802875905797
65,12.964118326947988,23.723129384657916,21.57514762878418
70,13.009116393403712,16.47171458076028,16.879181543986004
75,11.27991361913351,15.923724174499512,16.98403745457746
80,11.519193684034226,18.805239340838263,16.648866874584254
85,11.008789545417049,18.08353053822237,17.271808181983836
90,13.41660016829416,19.389582802267636,16.828360986018527
95,29.42360078571924,32.51872859281652,21.097429579582766
