Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,38.294613502933245,36.32188707239487,28.323739120925683
10,28.996401114541975,28.77094347336713,27.650560240814652
15,23.204625051529682,20.531588498283835,23.51868024079696
20,19.966392998269782,17.983593548045437,23.119607013204824
25,17.221648141551757,19.318058238309973,21.25116403552069
30,17.39914852760746,17.797169292674344,20.34920463009157
35,17.22793730230279,16.64587121851304,20.923229355742965
40,17.241347198277875,13.312037804547478,20.82328044504359
45,16.08622647026632,13.498014099457684,22.746946887693543
50,17.122830839104992,14.702729561749626,19.464780862780586
55,13.114219707218025,10.146917511435117,18.501851537953254
60,15.299326384219533,23.514819201301126,21.735203231590383
65,13.090575614262148,12.088890019585104,18.75150708184726
70,13.028085441102965,5.700196238125072,19.899761282879375
75,12.542559743578968,13.582237468046301,18.74432431096616
80,12.792367627711895,12.47650011848001,19.63327037424281
85,12.639078059483095,11.862138748168945,23.151592282281406
90,13.250495941912542,10.845249568714815,20.160333799279254
95,12.135080872554814,6.169046991011676,19.36712900797526
100,11.02016687306333,10.332589878755456,19.445129588030387
105,10.841316130209057,10.773929876439711,20.20747591101605
