Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,38.6532565723766,31.317124535055722,42.07240452485926
10,29.919417398626155,25.596904754638672,32.12634838328642
15,23.53581376509233,17.39176009683048,22.03603318158318
20,18.682714600996537,15.796289107378792,17.520380525028003
25,18.610951267589222,17.274095310884363,21.425756230073816
30,14.448667040738192,13.833106994628906,13.051259770112878
35,14.756704954667525,18.89924711339614,18.35066739250632
40,14.192418358542703,14.426821989171644,14.516071600072523
45,18.472688362815163,14.594080756692325,14.108634499942555
50,14.093576569990677,13.644976223216338,17.027654199039233
55,13.694457071477716,13.645315394682044,16.74191396376666
60,15.421240858598189,13.64110834458295,16.908987606272976
65,13.19026746749878,15.713841269997989,15.287270994747386
70,13.347396755218506,14.03726723614861,14.95384137770709
75,12.660302075472744,16.6109478894402,14.541629679062787
80,13.220381632718173,16.962782242718866,17.62749761693618
85,13.688042692704634,12.591460396261777,10.219592346864587
90,12.06010610407049,14.982199163997874,13.68730853585636
95,14.493338116732511,14.118410671458525,12.199446341570686
100,12.243614794991233,13.79829855526195,10.583763010361615
105,12.081806356256658,14.805341159596162,12.765312643612132
110,12.516599681160667,14.82122937370749,11.8533795300652
115,12.19964341250333,15.40018721187816,12.29674170998966
120,12.650572377985174,14.365306966445026,11.553258671480066
