Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,39.259962569188026,33.19795901533486,28.868685625601508
10,28.748542507199474,22.39278762927954,24.492302327916242
15,22.277107503292335,14.902988876121631,24.59009419316831
20,19.71382139721056,12.7402169186136,23.393624678902004
25,18.95624034074101,16.73590024312337,24.448044016741324
30,18.045215606689453,11.801997765250828,20.838288016941238
35,16.937257878101654,12.343741949053777,19.82892359857974
40,17.495711535432914,11.896956070609715,23.624724678371262
45,14.832636753137965,18.162922817727793,19.353002410004105
50,13.967233668278604,12.212695391281791,19.06249701458475
55,13.343629335835033,13.295751074086064,20.27033836254175
60,12.171676221555167,13.611501527869184,18.496674385623656
65,11.85055606730663,13.677299693010855,17.31292202161706
