Epoch,Train_RMSE_%,Val_RMSE_%,Test_RMSE_%
5,37.86068212095723,39.17857360839844,28.991723986639492
10,28.04497480826734,26.64403455397662,25.170286510301672
15,19.884768737904142,18.988969241871555,22.315280582593836
20,19.11595293124951,16.422211366541244,20.041947378628496
25,14.522598830294305,13.930807674632353,17.569530404132344
30,16.455954094836404,16.02481757893282,23.524887858957484
35,13.351082143453517,11.821391722735237,19.74279815563257
40,14.558491892719095,11.781906885259291,21.604945970618207
45,14.374870906544947,12.410451159757727,21.04369785474694
50,12.68792600058467,11.501839637756348,20.960672461468242
55,13.936426656059446,14.03121981901281,17.27947337385537
60,12.603669419314691,11.644329688128304,18.258494059244793
65,11.7006389821162,11.181748810936423,20.138138784878496
70,12.023045791737152,11.239275707918054,19.24472761845243
75,12.297790621147781,11.172344081542072,18.245913602303766
80,12.113651968742328,10.989147102131563,20.77816122856693
85,12.736228908997417,9.561676852843341,19.49823614479839
90,11.361879239316847,11.119690810932832,17.893493624701016
95,12.484251051869766,14.140507585862103,21.009910583496094
100,13.772133271333733,12.33989667892456,19.25315110579781
105,11.828139896601275,11.456429958343506,19.73541259765625
110,10.049695007136611,11.93540724586038,19.04195133153943
115,10.849076116454189,11.435142489040599,18.322481487108313
120,9.907337327689637,10.774988875669592,17.85956659178803
